metab,rxn_id,mode
uri,duripp,-
amp,gluprt,-
tyr_L,ddpa,-
1pyr5c,gf6pta,-
gam6p,gf6pta,-
sbt6p,gf6pta,-
succ,abta,-
8aonn,amaotr,-
8aonn,amaotr,-
aps,adsk,-
hom_L,hsk,-
glu_L,hsk,-
thr_L,hsk,-
cys_L,hsk,-
thr_L,hsk,-
cys_L,hsk,-
thr_L,hsk,-
hom_L,hsk,-
pser_L,hsk,-
hom_L,hsk,-
hcys_L,hsk,-
ile_L,hsk,-
val_L,hsk,-
ser_L,hsk,-
met_L,hsk,-
pydxn,hmpk1,-
4ahmmp,hmpk1,-
adp,fruk,-
fdp,fruk,-
thr_L,aspk,-
hom_L,aspk,-
mal_L,aspk,-
glu_L,aspk,-
succ,aspk,-
atp,acgk,-
adp,glu5k,-
ca2,prpps,-
ca2,prpps,-
ca2,prpps,-
ca2,prpps,-
adp,prpps,-
pan4p,ptpati,-
coa,ptpati,-
coa,ptpati,-
coa,ptpati,-
coa,ptpati,-
ppi,ptpati,-
dpcoa,ptpati,-
pan4p,ptpati,-
dpcoa,ptpati,-
amp,glgc,-
amp,glgc,-
amp,glgc,-
amp,glgc,-
ctp,dasyn120,-
ctp,dasyn120,-
dctp,dasyn120,-
ctp,mepct,-
apoacp,acps1,-
apoacp,acps1,-
amp,selnps,-
oxa,forct,-
adp,ntd10,-
datp,ntd10,-
atp,ntd10,-
amp,ntd10,-
atp,ntd10,-
atp,3ntd2pp,-
amp,fbp,-
pi,fbp,-
f1p,fbp,-
amp,23pde2pp,-
gal,lacz,-
gal,lacz,-
ahcys,ahcysns,-
ade,ahcysns,-
ppi,gtpcii2,-
atp,aso3t8pp,-
atp,aso3t8pp,-
coa,oxcdc,-
ppgpp,lysdc,-
ppgpp,lysdc,-
ppgpp,lysdc,-
ump,ompdc,-
dhap,fba,-
cobalt2,rmpa,-
pep,icl,-
4hbz,ans,-
glx,hopntal,-
2obut,hopntal,-
pyr,hopntal,-
4mop,hopntal,-
4hbz,chrpl,-
trp_L,trpas2,-
met_L,trpas2,-
ala_L,trpas2,-
phe_L,trpas2,-
4hthr,4hthrs,-
mal_D,aspt,-
23dappa,serd_d,-
23dappa,serd_d,-
ser_L,serd_d,-
gly,serd_d,-
ala_L,serd_d,-
cys_L,cysdds,-
2pglyc,tpi,-
pi,rpi,-
ppi,tyrtrs,-
ppi,tyrtrs,-
ppi,tyrtrs,-
amp,tyrtrs,-
amp,tyrtrs,-
amp,tyrtrs,-
glu_L,glntrs,-
metsox_s_L,glns,-
imp,prascsi,-
imp,prascsi,-
imp,prascsi,-
imp,prascsi,-
ade,dbts,-
ctp,ctps2,-
ctp,ctps2,-
gtp,ctps2,-
gtp,ctps2,-
gtp,ctps2,-
dgtp,ctps2,-
glu5sa,ctps2,-
itp,ctps2,-
succ,adss,-
succ,adss,-
gmp,gmps2,-
ump,cbps,-
10fthf,mthfd,-
10fthf,mthfc,-
2ddg6p,glcral,-
3mob,valta,-
akg,pps,-
akg,fba,+
akg,cs,-
akg,pthrpp,+
akg,sdpta,-
akg,icl,-
2obut,ldh_d,+
2obut,achbs,-
2pg,ddpa,-
pap,papsr,-
2dda7p,ddpa,-
2dda7p,dhqs,-
3psme,pscvt,-
pser_L,orndc,-
pppn,phetrs,-
3sala,asns1,-
4ppan,ppncl2,-
phthr,4hthrs,-
5mthf,dhfs,-
pram,pragsr,-
air,prais,-
dhpt,dhps2,-
dhpt,dhfs,-
8aonn,amaotr,-
ac,cyanst,-
ac,dhqti,-
ac,agdc,-
ac,acoda,-
ac,glcral,-
acald,betaldhx,-
aacoa,acact1r,-
accoa,cs,+
accoa,3oar100,-
accoa,ppc,+
accoa,me2,-
accoa,forct,-
actp,me2,+
actp,tmppp,-
ade,amaotr,-
adn,mettrs,-
adn,nads1,-
adn,punp1,-
adn,amaotr,-
adprib,acald,-
ahcys,cfas160e,-
ahcys,aconmt,-
adp,pps,-
adp,gluprt,-
adp,ntd1,-
adp,glyk,-
adp,sucoas,+
adp,adncyc,-
adp,fbp,-
adp,agmhe,-
adp,glcs1,-
adp,tmpk,-
adp,prais,-
adp,prais,-
adp,glyk,-
adp,fruk,-
adp,pfk,+
adp,acgamk,-
adp,pthrpp,+
adp,nads1,-
adp,glu5k,-
adp,pta2,-
adp,dbts,-
adp,ndpk1,-
adp,gtpci,-
adp,asnn,-
adp,gsnk,-
adp,tmppp,-
adpglc,agmhe,-
adpglc,glcp2,-
adpglc,udpgalppp,-
ag,fum,-
ag,asnn,-
amp,acs,-
amp,prpps,-
amp,argtrs,-
amp,pydamk,-
amp,asns2,-
amp,selnps,-
amp,rpi,-
amp,tmpk,-
amp,dasyn120,+
amp,gluprt,-
amp,fmnrx2,-
amp,fmnrx2,-
amp,pthrpp,+
amp,nads1,-
amp,acald,-
amp,acald,-
amp,dgk1,-
amp,pps,-
amp,glcp2,+
amp,pyk,+
amp,asnn,+
amp,fbp,-
amp,glns,-
amp,glgc,-
amp,atpprt,-
anth,igps,-
aps,adsk,-
ara5p,rpi,-
ara5p,tala,-
ara5p,tkt1,-
arg_L,acgs,-
arg_L,agmt,-
aso4,piuabcpp,-
aso4,mgsa,-
asn_L,asnn,+
asn_L,asns2,-
atp,pthrpp,+
atp,gsnk,+
atp,gsnk,+
atp,3ntd2pp,-
atp,ntd1,-
atp,fbp,-
atp,ntp12,-
atp,adncyc,-
atp,cs,-
atp,pfk,-
atp,glyk,+
atp,ldh_d,-
atp,ppck,-
atp,gdptpdp,+
atp,gnd,-
atp,3kgk,-
atp,rndr1,+
atp,aspct,+
atp,mthfd,-
atp,pyk,-
atp,pta2,-
atp,gmpr,-
atp,gtpci,-
atp,asnn,-
atp,hsdy,+
atp,tmppp,-
atp,manao,-
ala_b,pragsr,-
lipidads,moat2,-
lipidads,moat,-
ca2,admdc,+
ca2,ppck,+
ca2,ppa2,-
ca2,3oar100,-
ca2,u23gaat,-
ca2,dhfr,-
ca2,adncyc,-
ca2,glycdx,-
ca2,ppa,-
ca2,pgsa120,-
ca2,adpt,-
ca2,gmand,+
ca2,manao,+
ca2,pyk,-
ca2,pyk,+
ca2,kdopp,-
ca2,icl,-
ca2,mcitl2,-
ca2,prpps,-
ca2,dagk160,-
ca2,asnn,+
ca2,ppm2,-
ca2,bpnt,-
15dap,dhfr,-
camp,me2,-
cbp,glns,-
cd2,acoda,-
cd2,thrd,+
cd2,fum,-
cd2,gals3,-
cd2,acgs,-
cd2,a5piso,-
cd2,asp1dc,-
cd2,kdopp,-
cd2,kdops,-
cd2,ppm2,-
cd2,fci,-
cdp,ppc,+
chol,betaldhx,-
acon_c,icl,-
cit,fum,-
cit,fbp,+
cit,fba,+
cit,aspt,-
cit,chorm,-
cit,galctd,-
cl,ghmt2r,-
cl,dhqti,-
cl,fhl,-
cl,kdopp,-
cl,icl,-
cl,glcral,-
cmp,kdoct2,-
cmp,ppc,+
cmp,gsnk,+
cobalt2,admdc,+
cobalt2,ntd10,+
cobalt2,udpgalppp,+
cobalt2,23pde2pp,+
cobalt2,taudo,-
cobalt2,amptasecg,+
cobalt2,glcrd,-
cobalt2,thdps,-
cobalt2,argsl,+
cobalt2,acoda,+
cobalt2,kdopp,+
cobalt2,sulri,-
cobalt2,3ntd2pp,+
coa,oxcdc,-
coa,3oar100,-
coa,g3pat120,-
coa,gnd,-
coa,3oar100,-
coa,mohmt,-
coa,pntk,-
coa,maltatr,-
coa,forct,-
coa,ptpati,-
cyan,cat,-
cyan,spodm,-
cyan,selcyss,-
6pgc,pgi,-
6pgc,ddpgala,-
mal_D,aspt,-
mal_D,dogulnr,-
ppal,drpa,-
2pglyc,tpi,-
2pglyc,mgsa,-
cynt,hco3e,-
cynt,cbps,-
aso3,sulri,-
aso3,trdr,-
ap5a,adk1,-
uama,glur,+
uama,uaagds,-
ctp,dxylk,-
ctp,dasyn120,-
ctp,ctps2,-
ctp,cytdk2,-
ctp,aspct,-
ctp,glns,-
ctp,tmppp,-
cu2,acnml,-
cu2,asnn,-
cu2,gsnk,-
cu2,gsnk,-
cu2,23pde2pp,-
cu2,taudo,-
cu2,glycdx,-
cu2,lcadi,-
cu2,acgs,-
cu2,asp1dc,-
cu2,thdps,-
cu2,thrd,-
cu2,acnml,-
cu2,acota,-
cu2,glxcl,-
cu2,gui1,-
cu2,gui1,-
cu2,g5sd,-
cu2,csnd,-
cu2,acoda,-
cu2,alltn,-
cu2,kdopp,-
cu2,agpr,-
cu2,glcp2,-
cu2,kdops,-
cu2,3ntd2pp,-
cu2,ppm2,-
cys_L,cysdds,-
cys_L,argabcpp,-
cys_L,aoxsr2,-
cys_L,gui1,-
cys_L,gui1,-
cys_L,hsk,-
cys_L,serat,-
alaala,alaalar,-
alaala,alaalar,-
ala_D,ghmt2r,-
altrn,mnnh,+
cys_D,argabcpp,+
cys_D,cysdds,-
galct_D,glcrd,-
galct_D,glcral,-
glu_D,gludy,-
glu_D,glusy,-
glcr,glcral,-
mana,tagurr,-
tagur,mnnh,+
damp,ntpp1,-
datp,ntd1,-
datp,tyrtrs,-
datp,rndr1,-
dcdp,rndr1,-
dctp,ntd1,-
dctp,dasyn120,-
3dhq,dhqti,-
dtbt,accoac,-
dgtp,ntd1,-
dgtp,dgk1,-
dgtp,gtpci,-
dhf,dhfs,-
dhpmp,dntppa,-
dhap,g3pat120,-
dhap,mgsa,+
dha,acnml,-
dha,acnml,-
dtdpglu,g1ptt,-
dtdpglu,glcp2,-
dtdprmn,g1ptt,-
dutp,dctpd,-
fad,fmnrx2,-
fe2,acnml,-
fe2,admdc,+
fe2,altrh,+
fe2,sucbzl,-
fe2,acnml,-
fe2,mnnh,+
fe2,acota,-
fe2,agpr,-
fe2,ddpa,+
fe2,ppm2,-
fe3,admdc,+
fe3,ppm2,-
fald,mohmt,-
fdp,glyk,-
fdp,pfk,-
fdp,fruk,-
fdp,ppc,+
fdp,gnd,-
fdp,pyk,+
fdp,glgc,+
fdp,nndpr,-
fum,me2,-
fum,asp1dc,-
3pg,mgsa,-
3pg,pthrpp,+
3pg,icl,-
g3p,ddpgala,-
gdp,gluprt,+
gdp,orndc,+
gdp,ntptp1,-
gdp,pfk,+
gdp,gdmane,-
gdp,dgk1,-
gdp,ndpk1,-
gdp,gtpci,-
gdp,gsnk,-
gdp,gsnk,-
gdptp,lysdc,-
gdptp,orndc,+
gln_L,gludy,-
glu_L,dapdc,-
glu_L,me2,+
glu_L,asnn,-
glu_L,gf6pta,-
glu_L,asnn,+
glcn,mnnh,-
gly,fthfd,-
gly,serat,-
gly,pgcd,-
gly,glns,-
glyald,betaldhx,-
glyc,glyk,-
glyc3p,g3pd2,-
glyc3p,fba,+
glyc3p,pgsa120,-
glyc3p,glyk,-
gcald,gcaldd,-
glyclt,mals,-
glyclt,icl,-
gmp,gluprt,-
gmp,gluprt,-
gmp,adpt,-
gmp,impd,-
gmp,gsnk,-
gmp,adpt,-
gtp,gluprt,+
gtp,orndc,+
gtp,pyk,-
gtp,ntp12,-
gtp,adncyc,-
gtp,ntptp1,-
gtp,upprt,+
gtp,ctps2,+
gtp,ppc,+
gtp,mthfd,-
gtp,dgk1,-
gtp,ndpk1,-
gtp,ndpk1,-
gtp,gsnk,-
gtp,tmppp,-
gsn,dgk1,-
ppgpp,lysdc,-
ppgpp,orndc,+
ppgpp,upprt,+
ppgpp,adpt,-
ppgpp,gdpdpk,-
ppgpp,adss,-
ppgpp,gtpdpdp,-
ppgpp,orndc,-
cyan,trdr,-
cyan,glcp2,-
cyan,sulri,-
cyan,glcral,-
cyan,nodox,-
hg2,betaldhx,-
hg2,rmpa,-
hg2,icl,-
hg2,asnn,-
hg2,pgpp120,-
hg2,fum,-
hg2,acgs,-
hg2,a5piso,-
hg2,asp1dc,-
hg2,sucbzl,-
hg2,thrd,-
hg2,abta,-
hg2,kdopp,-
hg2,glcp2,-
hg2,kdops,-
hg2,glxcl,-
his_L,histp,-
his_L,glns,-
his_L,atpprt,-
histd,histp,-
histd,histrs,-
4ahmmp,hmpk1,-
hcys_L,hsk,-
hom_L,gludy,-
hom_L,hsk,-
hom_L,aspk,+
h2o2,spodm,-
h2o2,csnd,-
ile_L,achbs,-
iasp,aspo6,-
imp,prascsi,-
imp,gluprt,-
imp,adpt,-
imp,cbps,+
imp,mthfd,-
imp,dgk1,-
k,nadh16pp,+
k,gtpci,+
k,uacmamo,+
k,pfk,-
k,fba,+
k,betaldhx,+
k,cs,+
k,glycdx,+
k,tmpk,+
k,tre6ps,+
k,dhfr,-
k,cbps,+
k,impd,+
k,me2,+
k,glxcl,+
k,tmk,+
k,asad,-
k,dgk1,+
k,gtpdpdp,-
k,uapgr,+
k,uaagds,+
k,hsdy,+
k,nmnat,+
kdo,glcral,-
kdo8p,kdops,-
lipa,moat2,-
lipa,moat,-
kdo2lipid4,moat2,-
kdo2lipid4,moat,-
ala_L,ddpa,-
ala_L,serat,-
ala_L,glns,-
asp_L,me2,+
asp_L,asnn,-
asp_L,ppc,-
asp_L,aspt,+
asp_L,glusy,-
citr_L,acgs,-
cyst_L,argabcpp,-
glu5sa,ctps2,-
glu5sa,gf6pta,-
orn,cbps,+
orn,argdc,-
orn,acoda,-
orn,agmt,-
pant__r,dpr,-
pant__r,mohmt,-
lald_L,lcadi,-
ddcacoa,edtxs1,-
leu_L,ipps,-
leu_L,achbs,-
leu_L,valta,-
leu_L,achbs,-
leu_L,aspk,-
lys_L,hsk,-
lys_L,argdc,-
lys_L,dapdc,-
lys_L,aspk,-
lys_L,aspk,-
mal_L,ppc,-
26dap__m,argabcpp,-
met_L,mets,-
met_L,hsst,-
met_L,fthfd,+
met_L,glusy,-
meoh,ophbdc,+
mg2,mddcp1pp,-
mg2,adk1,+
mg2,ppa2,+
mg2,3oar100,-
mg2,u23gaat,-
mg2,dhfr,-
mg2,g3pat120,+
mg2,gnd,+
mg2,gmand,+
mg2,manao,+
mg2,prpps,+
mg2,asnn,+
mg2,ppbngs,NIL
mg2,asnn,-
mn2,admdc,+
mn2,amptasecg,+
mn2,glcrd,-
mn2,thrd,+
mn2,mnnh,+
mn2,manao,+
mn2,agpr,-
mn2,asnn,+
mn2,altrh,+
mn2,asnn,-
acgam1p,g1pact,-
na1,dhfr,-
na1,glxcl,+
na1,asad,-
na1,gtpdpdp,-
nad,nadh16pp,-
nad,gals3,+
nad,cs,-
nad,acald,+
nad,aspo6,-
nad,dhqs,-
nad,asnn,-
nad,manao,-
nadh,me2,-
nadh,udpgd,+
nadh,cs,-
nadh,nadk,-
nadh,pta2,-
nadh,asnn,-
nadh,lcadi,-
nadp,me2,-
nadp,fmnrx2,-
nadp,fmnrx2,-
nadp,gnd,-
nadp,gdmane,-
nadp,dpr,-
nadp,sulri,-
nadp,asnn,-
nadp,p5cr,-
nadp,kara1,-
nadph,pthrpp,-
nadph,nadk,-
nadph,pta2,-
nadph,asnn,-
nadph,gthor,-
ni2,g5sd,-
ni2,amptasecg,+
ni2,fba,-
ni2,gals3,-
ni2,thrd,-
ni2,argsl,+
ni2,acoda,-
ni2,agpr,-
nicrnt,nndpr,-
no3,fhl,-
no3,glcp2,-
no3,glcral,-
no2,fhl,-
hpyr,acnml,-
hpyr,acnml,-
oaa,pps,-
oaa,cs,-
oaa,icdhyr,-
oaa,pthrpp,+
oaa,me2,-
oaa,citl,-
oxa,pps,-
oxa,mals,-
oxa,asp1dc,-
oxa,mals,-
oxa,icl,-
oxa,forct,-
oxam,ldh_d,-
gthox,gthor,-
o2,obtfl,-
o2,fhl,-
o2,qulns,-
pppi,metat,-
pppi,asnn,+
pmtcoa,g3pd2,-
pmtcoa,ear121x,-
pnto__r,mohmt,-
paps,adsk,-
phe_L,ddpa,-
phe_L,chorm,-
pacald,betaldhx,-
pep,icdhyr,-
pep,pgi,-
pep,pta2,+
pep,pta2,-
pep,pscvt,+
pep,icl,-
pep,fbp,+
pep,fba,+
pep,mgsa,-
pep,ppck,-
pep,pfk,-
pep,pthrpp,+
pep,pps,-
pep,fbp,-
pep,tmppp,-
ppi,acs,-
ppi,argtrs,-
ppi,adncyc,-
ppi,mgsa,-
ppi,tmpk,-
ppi,ntpp1,-
ppi,gtpcii2,-
ppi,aspt,-
ppi,gmps2,-
ppi,dntppa,-
ppi,ndpk1,-
ppi,glcral,-
ppi,g1ptt,-
ppi,asnn,+
ppi,galctd,-
ppi,glgc,-
ppi,tmppp,-
ppi,nndpr,-
ppi,metat,-
pphn,chorm,-
pphn,chorm,-
pro_L,glu5k,-
pro_L,p5cr,-
ppa,acs,-
ppcoa,cs,-
ppp9,cpppgo,-
ptrc,dhfr,-
ptrc,lysdc,-
ptrc,orndc,-
ptrc,argdc,-
pydx,pydamk,-
pydx5p,glgc,+
pydx5p,pdx5poi,-
pydx5p,pydamk,-
pydx5p,pscvt,-
pydx5p,gf6pta,-
pydx5p,gf6pta,-
pydx5p,pdx5poi,-
pydx5p,e4pd,-
pydxn,hmpk1,-
pydxn,hmpk1,-
pdx5p,pdx5poi,-
pyr,acnml,-
pyr,pta2,+
pyr,pta2,-
pyr,pscvt,-
pyr,mals,-
pyr,ldh_d,+
pyr,acnml,-
pyr,pthrpp,+
pyr,mohmt,-
pyr,mals,-
r15bp,ppm2,+
ru5p_D,gnd,-
ametam,admdc,-
amet,hsst,-
amet,metat,-
ser_L,serat,-
ser_L,pgcd,-
ser_L,psp_l,-
ser_L,glns,-
so3,cyanst,-
spmd,lysdc,-
spmd,dhfr,-
spmd,admdc,-
spmd,g3pat120,+
spmd,argdc,-
spmd,apcs,-
spmd,argdc,-
spmd,orndc,-
succ,dhqti,-
succ,asp1dc,-
succ,aspct,-
succ,icl,-
succoa,pyk,-
so4,cyanst,-
so4,fbp,+
so4,ppm2,-
o2s,tkt1,-
o2s,fum,-
tartr_L,glcrd,-
tartr_L,dogulnr,-
thf,mets,-
thf,mohmt,-
thmpp,ntp12,-
thr_L,hsk,-
thr_L,aspk,-
thr_L,hsdy,-
dtmp,gsnk,+
trp_L,ddpa,-
trp_L,ans,-
trp_L,ans,-
trp_L,glns,-
dttp,ntd1,-
dttp,dctpd,-
dttp,dntppa,-
dttp,gtpci,-
tungs,fum,-
tyr_L,valta,-
tyr_L,ddpa,-
tyr_L,chorm,-
udp,uaagds,-
uamag,uamags,-
ugmd,uaagds,-
uacgam,uag2e,+
uacgam,uaagds,-
uamr,uagcvt,-
uamr,g1pact,-
uamr,uaagds,-
ump,udpg4e,-
ump,cbps,-
ump,gsnk,+
utp,dxylk,-
utp,cytdk2,-
utp,gtpci,-
utp,tmppp,-
val_L,achbs,-
val_L,achbs,-
val_L,mohmt,-
xmp,gluprt,-
xtp,gtpcii2,-
zn2,betaldhx,-
zn2,igpdh,-
zn2,gsnk,-
zn2,gsnk,-
zn2,a5piso,-
zn2,admdc,-
zn2,me2,-
zn2,fum,-
zn2,nadh16pp,-
zn2,feropp,-
zn2,ap4as,+
zn2,ap4as,+
zn2,a5piso,-
zn2,gals3,-
zn2,23pde2pp,-
zn2,taudo,-
zn2,selnps,-
zn2,amptasecg,+
zn2,acgs,-
zn2,ocbt,-
zn2,adpt,-
zn2,asp1dc,-
zn2,thdps,-
zn2,phetrs,-
zn2,uhgada,-
zn2,lystrs,-
zn2,argsl,-
zn2,gui1,-
zn2,gui1,-
zn2,csnd,-
zn2,acoda,-
zn2,manao,+
zn2,adss,-
zn2,agpr,-
zn2,glcp2,-
zn2,kdops,-
zn2,3ntd2pp,-
zn2,ppm2,-
zn2,gcaldd,-
pep,pfk,-
pep,pfk,-
akg,pps,-
pyr,pdh,-
accoa,me1,-
coa,me1,-
atp,me1,-
pi,glun,-
akg,cs,-
